Date,Open,High,Low,Close,Adj Close,Volume
2021-07-01,38.020000,38.709999,37.860001,38.590000,38.590000,2712212
2021-07-02,38.709999,38.860001,38.009998,38.009998,38.009998,1595905
2021-07-05,38.000000,38.560001,37.950001,38.200001,38.200001,914040
2021-07-06,38.220001,38.389999,37.290001,37.290001,37.290001,654052
2021-07-07,37.290001,38.080002,37.270000,37.970001,37.970001,1308136
2021-07-08,37.820000,37.820000,36.869999,36.980000,36.980000,1296774
2021-07-09,37.099998,37.650002,36.529999,37.459999,37.459999,1479341
2021-07-12,37.310001,37.369999,36.560001,36.660000,36.660000,1268971
2021-07-13,36.709999,37.430000,36.709999,36.950001,36.950001,1023099
2021-07-14,37.090000,37.720001,36.910000,37.000000,37.000000,1077180
2021-07-15,37.009998,37.680000,37.000000,37.290001,37.290001,959623
2021-07-16,37.310001,37.599998,37.169998,37.220001,37.220001,830928
2021-07-19,37.099998,37.139999,36.259998,36.700001,36.700001,1001376
2021-07-20,36.700001,37.080002,36.000000,36.830002,36.830002,836654
2021-07-21,36.939999,38.250000,36.880001,37.990002,37.990002,1400350
2021-07-22,38.099998,38.200001,37.250000,37.419998,37.419998,811958
2021-07-23,37.570000,37.709999,36.810001,37.169998,37.169998,766893
2021-07-26,37.200001,37.849998,36.549999,37.360001,37.360001,869030
2021-07-27,37.349998,37.540001,36.700001,36.900002,36.900002,882330
2021-07-28,36.900002,38.049999,36.900002,37.990002,37.990002,819105
2021-07-29,38.000000,38.020000,37.639999,37.880001,37.880001,1008363
2021-07-30,37.680000,38.150002,37.619999,37.840000,37.840000,1173180
2021-08-02,38.099998,38.349998,37.630001,37.770000,37.770000,804935
2021-08-03,37.810001,37.919998,37.360001,37.630001,37.630001,777939
2021-08-04,37.709999,38.439999,37.700001,38.110001,38.110001,1070063
2021-08-05,37.939999,38.450001,37.900002,38.200001,38.200001,777746
2021-08-06,38.160000,39.180000,37.950001,38.849998,38.849998,2328543
2021-08-09,38.799999,39.770000,38.730000,39.680000,39.680000,2262931
2021-08-10,39.700001,39.779999,39.040001,39.209999,39.209999,1344943
2021-08-11,39.160000,40.180000,38.950001,40.099998,40.099998,1891348
2021-08-12,39.849998,39.849998,39.000000,39.680000,39.680000,3243033
2021-08-13,39.680000,39.700001,39.200001,39.639999,39.639999,1171623
2021-08-16,39.270000,39.720001,39.099998,39.549999,39.549999,1248557
2021-08-17,39.500000,40.040001,39.240002,40.040001,40.040001,2027676
2021-08-18,39.990002,40.150002,39.580002,39.730000,39.730000,1240429
2021-08-19,39.450001,39.529999,38.810001,38.959999,38.959999,1436408
2021-08-20,39.009998,39.200001,38.549999,38.810001,38.810001,967624
2021-08-23,39.119999,39.930000,38.919998,39.889999,39.889999,1231271
2021-08-24,39.970001,40.180000,39.650002,40.099998,40.099998,1524841
2021-08-25,39.770000,40.980000,39.770000,40.980000,40.980000,2348647
2021-08-26,40.880001,40.880001,40.360001,40.360001,40.360001,881604
2021-08-27,40.250000,40.779999,39.930000,40.779999,40.779999,1025007
2021-08-30,40.750000,41.000000,40.230000,40.980000,40.980000,1047673
2021-08-31,40.750000,42.049999,40.540001,42.049999,42.049999,3744770
2021-09-01,42.049999,42.799999,42.009998,42.669998,42.669998,2188768
2021-09-02,42.480000,42.700001,41.380001,42.700001,42.700001,1829341
2021-09-03,42.500000,42.820000,42.290001,42.820000,42.820000,1170377
2021-09-06,42.700001,43.939999,42.630001,43.900002,43.900002,2140177
2021-09-07,43.500000,44.189999,43.240002,43.450001,43.450001,1402916
2021-09-08,43.250000,43.349998,42.520000,43.009998,43.009998,1525258
2021-09-09,42.840000,43.000000,42.130001,43.000000,43.000000,1108901
2021-09-10,42.900002,43.900002,42.900002,43.049999,43.049999,1217471
2021-09-13,43.209999,43.779999,43.200001,43.720001,43.720001,1315537
2021-09-14,43.549999,44.099998,43.180000,43.709999,43.709999,1740090
2021-09-15,43.209999,43.400002,42.400002,42.759998,42.759998,2240188
2021-09-16,42.599998,43.459999,42.580002,43.320000,43.320000,1658321
2021-09-17,43.240002,43.310001,42.150002,42.310001,42.310001,3566300
2021-09-20,41.779999,41.840000,41.099998,41.189999,41.189999,1909423
2021-09-21,41.240002,42.080002,40.910000,41.290001,41.290001,1729764
2021-09-22,41.660000,42.919998,41.590000,42.919998,42.919998,1851903
2021-09-23,43.200001,43.380001,42.509998,42.650002,42.650002,2102735
2021-09-24,42.660000,43.180000,42.250000,42.680000,42.680000,2134673
2021-09-27,43.000000,44.080002,42.549999,43.150002,43.150002,2602439
2021-09-28,42.900002,43.150002,41.830002,42.110001,42.110001,2174310
2021-09-29,42.000000,42.770000,41.990002,42.560001,42.560001,1296617
