Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,33.000000,33.000000,32.340000,32.590000,32.590000,759907
2021-04-02,32.590000,32.590000,32.590000,32.590000,32.590000,0
2021-04-05,32.590000,32.590000,32.590000,32.590000,32.590000,0
2021-04-06,32.349998,33.189999,32.330002,33.189999,33.189999,1662372
2021-04-07,33.000000,33.040001,32.450001,32.830002,32.830002,1107622
2021-04-08,32.889999,32.970001,32.160000,32.509998,32.509998,1603724
2021-04-09,32.509998,32.619999,31.950001,32.220001,32.220001,2604202
2021-04-12,32.150002,32.560001,31.920000,32.500000,32.500000,1787557
2021-04-13,32.570000,32.580002,32.049999,32.169998,32.169998,1263719
2021-04-14,32.480000,32.869999,32.480000,32.830002,32.830002,1652735
2021-04-15,32.830002,33.090000,32.529999,33.090000,33.090000,1209823
2021-04-16,32.950001,33.200001,32.799999,33.150002,33.150002,1440336
2021-04-19,33.180000,33.540001,32.750000,32.869999,32.869999,1460513
2021-04-20,32.799999,33.320000,32.439999,33.029999,33.029999,1763786
2021-04-21,33.070000,33.299999,32.529999,33.290001,33.290001,1927009
2021-04-22,33.349998,33.500000,32.720001,32.910000,32.910000,1157172
2021-04-23,32.709999,33.000000,32.450001,32.700001,32.700001,1299525
2021-04-26,32.700001,32.950001,32.500000,32.759998,32.759998,1296258
2021-04-27,32.799999,33.020000,32.610001,32.849998,32.849998,1880392
2021-04-28,32.950001,33.720001,32.869999,33.509998,33.509998,2668363
2021-04-29,33.700001,36.400002,33.570000,35.540001,35.540001,5538720
2021-04-30,35.630001,35.720001,35.110001,35.270000,35.270000,1936213
2021-05-03,35.270000,35.270000,35.270000,35.270000,35.270000,0
2021-05-04,35.480000,35.480000,34.020000,34.020000,34.020000,2259776
2021-05-05,34.200001,34.970001,34.119999,34.660000,34.660000,1556600
2021-05-06,34.700001,35.619999,34.529999,34.639999,34.639999,1785112
2021-05-07,34.610001,35.959999,34.610001,35.820000,35.820000,1569646
2021-05-10,35.939999,37.580002,35.930000,37.169998,37.169998,3186431
2021-05-11,36.610001,36.860001,33.759998,34.500000,34.500000,12495200
2021-05-12,34.740002,35.000000,33.639999,33.750000,33.750000,5815155
2021-05-13,33.900002,34.160000,33.029999,34.110001,34.110001,4783896
2021-05-14,34.380001,34.680000,33.799999,34.439999,34.439999,2454191
2021-05-17,34.650002,35.349998,34.639999,35.330002,35.330002,3529071
2021-05-18,35.349998,35.580002,35.110001,35.250000,35.250000,4121810
2021-05-19,35.000000,35.400002,34.820000,35.310001,35.310001,2898524
2021-05-20,35.400002,35.930000,35.070000,35.610001,35.610001,4004063
2021-05-21,35.750000,37.200001,35.750000,37.000000,37.000000,4018813
2021-05-24,36.939999,37.139999,36.529999,37.040001,37.040001,1558104
2021-05-25,37.090000,38.250000,37.080002,38.119999,38.119999,4123194
2021-05-26,38.119999,38.650002,37.650002,38.099998,38.099998,2878357
2021-05-27,37.970001,39.290001,37.889999,39.290001,39.290001,5671652
2021-05-28,39.099998,39.820000,39.099998,39.799999,39.799999,3732119
2021-05-31,39.840000,41.250000,39.419998,40.669998,40.669998,3399172
2021-06-01,40.570000,40.799999,39.430000,39.950001,39.950001,2487406
2021-06-02,39.939999,40.419998,39.599998,40.090000,40.090000,1319297
2021-06-03,null,null,null,null,null,null
2021-06-04,40.400002,40.930000,39.830002,40.400002,40.400002,2224945
2021-06-07,40.230000,40.779999,39.400002,39.700001,39.700001,2255211
2021-06-08,39.450001,39.930000,39.099998,39.639999,39.639999,2719439
2021-06-09,39.639999,39.990002,38.930000,39.139999,39.139999,2401864
2021-06-10,39.049999,40.669998,39.029999,40.130001,40.130001,2268821
2021-06-11,40.099998,40.279999,39.660000,39.860001,39.860001,2219842
2021-06-14,40.119999,40.500000,39.919998,40.500000,40.500000,1179410
2021-06-15,40.700001,40.790001,40.070000,40.299999,40.299999,1865732
2021-06-16,40.020000,40.540001,40.020000,40.459999,40.459999,2033201
2021-06-17,40.080002,40.450001,40.000000,40.349998,40.349998,1613727
2021-06-18,40.389999,40.599998,40.150002,40.500000,40.500000,5100815
2021-06-21,40.009998,40.490002,39.860001,40.480000,40.480000,869666
2021-06-22,40.480000,40.580002,39.950001,40.360001,40.360001,1268915
2021-06-23,40.500000,40.630001,40.090000,40.130001,40.130001,848969
2021-06-24,40.299999,41.400002,40.189999,41.259998,41.259998,2834575
2021-06-25,41.250000,41.439999,40.560001,40.779999,40.779999,1363022
2021-06-28,40.770000,41.000000,40.209999,40.919998,40.919998,1125911
2021-06-29,40.599998,40.689999,39.529999,39.959999,39.959999,2559851
